#vertices
Dasharatha,pos=King
Kaushalya,pos=Queen
Ram,pos=Prince
Lakshman,pos=Prince
Bharat,pos=Prince
Shatrughn,pos=Prince
#edges
from=Dasharatha,to=Kaushalya,rel=Husband
from=Dasharatha,to=Ram,rel=Father
from=Dasharatha,to=Lakshman,rel=Father
from=Dasharatha,to=Bharat,rel=Father
from=Dasharatha,to=Shatrughn,rel=Father
from=Kaushalya,to=Ram,rel=Mother
from=Ram,to=Lakshman,rel=ElderBrother
from=Ram,to=Bharat,rel=ElderBrother
from=Ram,to=Shatrughn,rel=ElderBrother
from=Lakshman,to=Bharat,rel=ElderBrother
from=Lakshman,to=Shatrughn,rel=ElderBrother
from=Bharat,to=Shatrughn,rel=ElderElderBrother
